Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3)
carbon amorphous (carbon stock),6.276,5.88,707,1.068,2589.0,1510.0,55.73706,49.76416
tungsten titanium carbide k5h,35.564,8.21,377,4.336,12411.0,11500.0,36.872803,17.758423
titanium carbide cermet k138a,26.359,8.65,544,3.046,8960.0,5600.0,51.461426,30.963501
steel stainless 19-9dl,13.389,3.42,502,3.916,7241.0,7800.0,51.640686,44.04895
indium antimonide (InSb) (imp 0.16),16.318,10.7,218,1.526,4986.0,7000.0,60.36255,62.9563
tungsten silicide (WSi2) (hp 95 dense),40.585,14.0,308,2.895,10838.0,9400.0,30.971375,38.19629
toluene (25 °C),0.1304,0.088902,1701,1.467,39.0,862.0,51.820618,60.818726
oil (motor oil 10W30),0.158,0.09,1990,1.703,519.0,856.0,52.24579,62.82898
cobalt alloy hs-21 (as cast),12.552,3.58,423,3.511,6635.0,8300.0,48.590027,42.500244
titanium carbide cermet k161b,23.43,6.22,628,3.768,9393.0,6000.0,42.736633,37.08203
curium,12.552,14.3,126,0.882,3321.0,7000.0,68.137695,60.000732
zirconium boride (ZrB2) (hp  97 pc den),25.104,10.2,418,2.466,7872.0,5900.0,57.775208,49.000854
tungsten alloy (W75 Re25),64.852,24.6,134,2.64,13079.0,19700.0,35.21216,50.656372
mercury chloride (HgCl2),1.297,0.84,285,1.55,1417.0,5440.0,57.24597,72.44165
epoxy der 332 (c) hysol 6000-op (k),0.195,0.14,1172,1.418,525.0,1210.0,51.75049,57.823242
white pine wood (across grain),0.13,0.11,2301,1.22,398.0,530.0,54.557495,60.598267
zinc ferrite (ZnO.Fe2O3),4.017,1.29,586,3.123,3541.0,5330.0,37.10144,70.37512
uranium carbide (UC) (sintered 90d),17.364,6.96,203,2.497,6583.0,12300.0,33.9588,37.524048
melamine glass fiber filled (mst 205),0.481,0.15,1674,3.181,1237.0,1900.0,44.911255,72.208984
magnesium alloy az855(x) (wrought),79.496,43.1,1025,1.845,12111.0,1800.0,61.89807,59.569824
terbium boride (TbB6) (94.3 pc dense),20.083,6.4,628,3.14,7939.0,5000.0,45.526855,47.42737
cobalt alloy wi-52 (cr coated sample),19.665,5.6,418,3.511,8313.0,8400.0,45.390137,32.598145
lead alloy (solder) (Sn37.5 Pb37.5 In25),56.902,27.5,239,2.077,10860.0,8690.0,48.137695,51.69934
polyvinyl carbazole,0.155,0.1,1297,1.53,487.0,1180.0,50.439087,60.12671
vermiculite expanded,0.071,0.43,753,0.166,109.0,220.0,52.27643,41.50952
mock h.e. rm-04-bg (lx-04-1 mech mock),0.115,0.06,962,1.799,454.0,1870.0,47.959595,64.323975
