Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3)
uranium oxide + mo (UO2 70 vol) (92 d),20.083,6.0,335,3.35,8199.0,10000.0,32.534668,38.487427
tungsten carbide cermet carboloy 883,100.42,32.1,209,3.125,17722.0,14950.0,19.8443,54.260254
zirconium oxide (ZrO2) (monoc.  100 d),1.849,0.73,456,2.535,2166.0,5560.0,50.07318,60.981323
soda plate glass,1.213,0.65,753,1.883,1511.0,2500.0,50.173767,63.687378
magnesium alloy 1959 (Mg Ce4.33),129.7,72.6,1004,1.787,15225.0,1780.0,64.97101,66.08777
ethyl cellulose (wide range of c  k),0.23,0.1,2092,2.406,744.0,1150.0,52.282593,64.107056
vermiculite brick,0.167,0.41,837,0.406,261.0,485.0,52.628662,44.456543
americium,12.552,8.55,126,1.474,4293.0,11700.0,65.09198,49.49646
nickel alloy inconel (cast),10.46,2.79,452,3.752,6264.0,8300.0,51.41034,47.083008
steatite - magnesium silicate (MgO.SiO2) (commercial grades),3.347,1.33,837,2.511,2899.0,3000.0,47.269653,66.40198
tantalum alloy (Ta98 Cu0.7 Zr0.7),41.84,18.2,138,2.299,9811.0,16660.0,36.07245,44.662598
iron  grey cast  pearlitic (3.4 c),58.576,17.7,460,3.307,13922.0,7190.0,43.10199,22.600708
zinc sulfide (ZnS) (cubic crystal),25.941,13.4,473,1.939,7091.0,4100.0,99.209656,54.08362
norway pine wood (across grain),0.151,0.12,2301,1.266,437.0,550.0,54.60089,60.96167
aluminum alloy (Al84.0  cast or tempd),83.68,35.3,879,2.373,14089.0,2700.0,69.98682,58.95044
nickel alloy monel k (annealed),17.74,4.91,427,3.615,8006.0,8465.0,46.8208,34.224243
aluminum alloy (Al90.0  cast or tempd),104.6,44.1,879,2.373,15752.0,2700.0,61.192505,64.34924
tungsten titanium carbide km,59.831,12.3,377,4.863,17049.0,12900.0,24.586609,22.138062
teflon reinforced,0.414,0.21,975,1.94,896.0,1990.0,46.959778,65.56384
urea-formaldehyde alpha cellulose fllr,0.377,0.15,1674,2.511,972.0,1500.0,47.06903,66.62561
uranium alloy (U93 Fs5 Zr2),20.083,9.09,126,2.218,6660.0,17600.0,46.549927,37.036987
plutonium carbide (PuC) (arcm or cast),7.113,2.86,184,2.484,4204.0,13500.0,47.529358,34.00537
water (H2O) (liquid),0.60652,0.14548,4181,4.169,231.0,997.05,35.921875,86.29053
magnesium alloy am100a (casting),58.576,31.6,1025,1.855,10425.0,1810.0,64.576294,54.350708
steel stainless (Cr 12-13 Ni 0-3),23.43,7.01,431,3.34,8847.0,7750.0,46.381836,30.759521
cobalt,84.935,22.7,423,3.748,17833.0,8860.0,29.193298,36.63257
titanium alloy (Ti Bal  Al6  V4),7.113,3.06,523,2.327,4069.0,4450.0,71.13989,60.315674
silver chloride (AgCl) (single crystal),1.134,0.57,356,1.979,1497.0,5560.0,59.34961,83.77075
baratol h.e. (tnt 26 ba nitrate 76),0.495,0.24,803,2.088,1017.0,2600.0,45.162903,65.59778
gasoline,0.151,0.09,2100,1.575,488.0,750.0,53.947876,61.58081
helium (gas),0.15,164.0,5188,0.001,12.0,0.177,54.616272,61.090576
nickel alloy k-42b,12.552,3.57,418,3.511,6642.0,8400.0,48.117126,42.506348
steam (H2O) (gas) (1 atm),0.023,19.9,1966,0.001,5.0,0.598,52.41278,42.651
